id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
24837978;Príncipe Charming;98781521;Joana;Lisboa;Santo Antnio;3.871.703;-915.303;Entire home/apt;80;3;44;11.07.2021;01. Aug;4;218;9;70840/AL
24840149;Amazing flat at Lumiar for 4;54218793;Am;Lisboa;Lumiar;3.877.137;-915.334;Entire home/apt;90;2;40;16.11.2019;0.98;2;319;0;83708/AL
24841502;Alfama Lyfe;17273159;Jorge;Lisboa;Santa Maria Maior;3.871.129;-912.908;Entire home/apt;60;3;18;17.04.2019;0.45;1;0;0;72150/AL
24844765;Cozy apartment 15 minutes from Lisbon Center;2636887;Pedro;Amadora;Venteira;3.875.643;-923.405;Entire home/apt;34;4;28;19.06.2018;0.68;1;241;0;Exempt
24844867;Villa Sintra - 3 rooms 1 Kitchen, BBQ & Parking;15596238;Susana;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.879.308;-938.101;Entire home/apt;126;3;22;16.12.2019;0.78;2;330;4;70571/AL
24847414;Discover Alfama at BCA | Remédios 153;187833612;Rafael Silva;Lisboa;So Vicente;3.871.419;-912.686;Entire home/apt;44;2;81;08.07.2021;02. Jun;1;243;17;65890/AL
24848947;Explore the Historic Center from a Modernized Apartment;11371592;Andre;Lisboa;Arroios;3.871.978;-913.804;Entire home/apt;106;2;116;21.05.2020;Feb 97;1;144;10;70965/AL
24851046;Lisbon Traveller's Lodge;187858515;Luis;Lisboa;Misericrdia;3.871.593;-915.267;Entire home/apt;70;1;59;19.02.2019;Jan 47;1;168;0;70382/AL
24851160;Beach Apartment in July & September, Portugal;108748592;Ana;Torres Vedras;A dos Cunhados e Maceira;3.917.814;-935.646;Entire home/apt;85;3;1;30.07.2018;0.03;3;20;0;72927/AL
24854170;Hostel Seven Hills - S. Pedro Room;61255540;Hostel Seven Hills;Lisboa;Arroios;3.872.826;-913.527;Shared room;13;1;18;04.11.2018;0.47;10;364;0;71753/AL
24861626;POMBAL TERRACE with 182m2 plus a Terrace;2372087;Albertino;Lisboa;Santo Antnio;3.872.366;-915.478;Entire home/apt;386;3;29;18.03.2020;0.99;57;209;3;67917/AL
24863090;Cosy Apartment with Stunning River view in Alfama;187432095;Micael & Patricia;Lisboa;Santa Maria Maior;3.871.182;-913.116;Entire home/apt;119;1;169;04.08.2021;Apr 19;11;232;27;59514/AL
24863657;Alfama : Fado on the balcony;39255292;Carole & Pedro;Lisboa;Santa Maria Maior;3.871.059;-912.943;Entire home/apt;59;3;90;24.01.2020;Feb 34;1;327;10;80176/AL
24864756;Bedroom in Lisboa;187968820;Maria;Lisboa;Arroios;3.873.028;-914.361;Private room;68;2;0;;;1;90;0;Exempt
24865181;Flat with veranda, terrace and amazing view;187969828;Sarah Et Jean-David;Lisboa;Arroios;387.247;-913.159;Entire home/apt;100;2;28;05.01.2019;0.70;1;199;0;1,325E+12
24866845;Completely Renovated House in Cascais;64171732;Sérgio And Miguel;Cascais;Cascais e Estoril;38.698;-943.121;Entire home/apt;129;5;25;15.05.2021;0.68;2;162;4;70812/AL
24867120;Lisbon Apartment @ Orient Station;10366974;Adelaide & Paulo;Lisboa;Parque das Naes;3.876.988;-910.116;Entire home/apt;89;3;15;04.08.2021;0.39;19;341;2;71260/AL
24867908;Campo Real Town house;87349844;Liam;Torres Vedras;Turcifal;3.903.747;-923.954;Entire home/apt;140;3;7;04.01.2021;0.21;1;327;2;354-2007
24868283;Welcome to the miniflat 4 !!;22856342;João Tomás E Joana;Lisboa;Alcntara;3.870.643;-918.232;Entire home/apt;45;2;48;27.07.2019;Jan 26;4;0;0;29564/AL
24870155;Casa Memória*Memory House* Quite and charming;149246717;Sandra;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.879.978;-938.977;Entire home/apt;80;1;11;12.02.2019;0.29;2;187;0;6158/2018
24870203;Aura, Apartamento com piscina e varanda no centro de Lisboa;5471155;Cristóvão;Lisboa;Santa Maria Maior;3.871.689;-913.353;Entire home/apt;184;3;21;24.11.2019;0.72;13;331;0;79478/AL
24870457;Quarto Amoreiras;188013825;Campolide;Lisboa;Campolide;38.728;-916.585;Private room;55;1;1;12.05.2018;0.02;2;269;0;Exempt
24871227;Apartamento Telheiras;188020406;CMLopes Pereira;Lisboa;Lumiar;3.876.395;-916.713;Entire home/apt;90;4;9;22.06.2019;0.24;1;165;0;62426/AL
24872432;01 Quarto em Lisboa perto do metro das laranjeiras;74270788;Paulo;Lisboa;So Domingos de Benfica;3.875.238;-917.301;Private room;55;5;11;02.06.2019;0.29;3;0;0;Exempt
24874534;Rosinha's House;36106261;João;Lisboa;Penha de Frana;3.873.057;-912.925;Entire home/apt;100;3;1;24.06.2019;0.04;1;364;0;Exempt
24880273;Casa das Férias;188096227;Sandra;Lisboa;Campo de Ourique;3.871.304;-916.573;Entire home/apt;55;1;21;11.10.2018;0.55;1;0;0;68059/AL
