id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
26942221;Clean & Safe Downtown - Two super cozy beds;201543332;Nuno;Lisboa;Penha de Frana;387.284;-912.481;Private room;25;4;74;06.12.2021;Jan 81;2;180;13;Exempt
26946757;Luminous Studio in central Chiado;15313307;Amos;Lisboa;Misericrdia;3.870.995;-914.523;Entire home/apt;55;3;59;18.11.2021;Jan 46;2;195;18;56548/AL
26948455;Cozy and Spacious apartment in Graça, Lisbon;17680649;Any;Lisboa;So Vicente;3.872.009;-91.249;Entire home/apt;109;2;10;19.11.2021;0.25;1;355;3;71227/AL
26948621;Pantheon Charming Flat;14317794;Bernardo E Ana Rita;Lisboa;So Vicente;3.871.374;-912.418;Entire home/apt;60;3;44;12.11.2021;01. Aug;19;155;7;77746/AL
26950046;Destino Lisboa Apartments - Saldanha Apartment;199384318;Nathalie;Lisboa;Santo Antnio;3.872.359;-91.446;Entire home/apt;152;1;7;13.11.2021;0.22;5;261;3;76370/AL
26951388;Room w/private Bathroom - Like a Local(Crazy Left);202772344;Like A Local Guesthouse;Mafra;Ericeira;3.897.092;-940.322;Private room;57;5;26;20.09.2021;0.89;5;13;6;77724/AL
26953360;Graça Shiny Duplex in Lisbon with free parking;163699322;Paulo And Catarina;Lisboa;So Vicente;3.871.955;-912.725;Entire home/apt;100;2;191;07.12.2021;Apr 70;3;206;32;69440/AL
26954430;MY LX FLAT City Center El Corte Inglês;17125483;Patrícia;Lisboa;Avenidas Novas;3.873.363;-915.523;Entire home/apt;184;2;72;22.11.2021;Jan 75;27;325;4;75606/AL
26956886;Casa das Andorinhas 2;22799128;Sofia;Mafra;Enxara do Bispo, Gradil e Vila Franca do Rosrio;3.898.187;-924.328;Entire home/apt;69;1;10;06.08.2019;0.25;3;352;0;Exempt
26972599;Óptimo quarto em apartamento limpo e cheio de luz;151406297;Khris;Amadora;Venteira;3.875.115;-922.493;Private room;39;1;1;14.08.2018;0.02;1;0;0;Exempt
