id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
40510528;Gundi House - Amazing Private Studio;313508422;Gundi House;Mafra;Santo Isidoro;3.900.839;-941.879;Private room;115;2;2;30.12.2019;0.11;3;289
40518612;De Leite Hostel - 6 FOR WOMAN;207292686;Deleite;Lisboa;Areeiro;3.874.011;-913.866;Shared room;14;1;0;;;4;162
40524995;House with 4 bedrooms in Santo Isidoro, with wonderful sea view, enclosed garden and WiFi - 1 km from the beach;137500257;Loic, Estelle & Co;Mafra;Santo Isidoro;390.095;-94.203;Entire home/apt;257;1;0;;;21;365
40527354;Three Bedroom Apartment;262236094;Renato;Lisboa;Arroios;3.872.252;-913.829;Private room;124;1;0;;;4;159
40529042;Chic & Trendy T.M. Flat;8046399;Tomás;Lisboa;Estrela;3.870.802;-915.801;Entire home/apt;60;2;18;07.06.2021;1.00;20;255
40529568;Down town apartment near metro station expo29;29202743;Ricardo;Lisboa;Avenidas Novas;3.874.731;-915.122;Entire home/apt;101;1;0;;;11;172
40529652;What a Wonderful World;135105304;Ana Cristina;Cascais;Cascais e Estoril;3.871.174;-942.461;Entire home/apt;49;2;1;01.01.2020;0.06;1;314
40535603;NEW: Stay in the heart of Alfama 4;313878145;Maria;Lisboa;Santa Maria Maior;3.870.966;-913.194;Shared room;14;2;2;14.01.2020;0.11;1;180
40537246;NEW: Stay in the heart of Alfama: 12;313962424;Marias;Lisboa;Santa Maria Maior;3.870.836;-913.228;Shared room;14;2;0;;;1;181
40539373;Cascais 2 bedrooms - pool, garage and sea view;314029629;Henrique;Cascais;Cascais e Estoril;3.869.681;-944.361;Entire home/apt;128;3;7;05.06.2021;0.74;1;173
40548265;Baixa Deluxe Flat;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.870.774;-914.012;Entire home/apt;86;1;10;16.09.2020;0.97;272;316
40555727;Downtown charming Lisbon 3;150426604;Joao;Lisboa;Santa Maria Maior;3.871.402;-913.616;Entire home/apt;36;2;60;15.01.2021;Mrz 23;8;356
40555974;Downtown charming Lisbon 4;150426604;Joao;Lisboa;Santa Maria Maior;3.871.235;-9.136;Entire home/apt;45;2;58;06.11.2020;03. Sep;8;354
40556266;Modern touch Apt in Iconic 8 Building by FS;82110597;Fine;Lisboa;Misericrdia;3.870.765;-914.689;Entire home/apt;172;2;0;;;14;129
40557792;Arroios 3Rooms Apartment by GT House;71962548;GT House;Lisboa;Arroios;3.873.336;-913.555;Entire home/apt;62;1;6;27.05.2021;0.56;23;315
40562011;Bela Vista II;4972896;Rita Morais;Cascais;Cascais e Estoril;3.870.042;-942.326;Entire home/apt;118;4;0;;;37;149
40565078;Cascais Summer Apartment;314313780;Vinicius;Cascais;Cascais e Estoril;3.870.993;-941.429;Entire home/apt;99;3;6;01.09.2020;0.33;2;312
40565415;3 Central private room in the heart of Alfama;314325180;Henrique;Lisboa;Santa Maria Maior;3.870.873;-913.359;Private room;30;2;0;;;1;180
40565732;4 Central private room in the heart of Alfama;314328391;Maaria;Lisboa;Santa Maria Maior;3.871.051;-913.263;Private room;30;2;1;01.02.2020;0.06;1;0
40579492;ExoticVintageLisboa -central, kid friendly, garden;314441635;Sylvain And Stephanie;Lisboa;Penha de Frana;3.872.294;-912.966;Entire home/apt;140;3;14;14.06.2021;0.75;1;188
40584740;Sea view Villa in 3 680 m2 property;314474566;Maria;Sintra;Colares;3.877.131;-948.808;Entire home/apt;227;7;0;;;1;342
40585043;Cozy Apartment next to TIMEOUT MARKET;141211069;Orion ODM Lisbon;Lisboa;Misericrdia;387.088;-914.647;Entire home/apt;880;1;0;;;6;165
40585165;Casa Laranja;116844452;Carlos Duarte;Cascais;Cascais e Estoril;3.872.216;-943.665;Entire home/apt;1200;3;0;;;2;271
40586526;Seu Lar na Cidade Vida de Amadora;314487399;Ivandro;Amadora;Venteira;3.875.143;-923.089;Entire home/apt;50;1;0;;;1;0
